"variable","role","type","unit","required","description"
"id","subject_id","character","","yes","Identificador de sujeto (paciente); split a nivel sujeto"
"index","sample_id","character","","yes","Identificador de muestra longitudinal"
"preterm","outcome","factor","0/1","yes","Parto pretermino (<37 semanas cumplidas); binario 0/1; nivel positivo = 1"
"sdg_parto","gestational_age","numeric","weeks","yes","Edad gestacional en semanas al parto"
"visita","clinical","character","","no","Numero de visita consecutiva"
"dg_visita","clinical","numeric","days","no","Edad gestacional en dias a la visita"
"sdg_visita","clinical","numeric","weeks","yes","Edad gestacional en semanas a la visita (visit_ga; core de approach1/2)"
"dg_parto","clinical","numeric","days","no","Edad gestacional en dias al parto (variable de desenlace)"
"desenlace_parto","clinical","character","","no","Termino (>37 sem) vs pretermino (<37 sem); variable de desenlace"
"edad_cronologicamujer","clinical","numeric","years","no","Edad de la mujer"
"peso_pregestacional_kg","clinical","numeric","kg","no","Peso (kg) antes de iniciar la gestacion"
"talla_mujer_cm","clinical","numeric","cm","no","Talla (cm)"
"imc_pregestacional","clinical","numeric","kg/m2","no","IMC antes de iniciar la gestacion"
"imc_pregest_categ","clinical","character","","no","Categoria de IMC pregestacional (National Academy of Medicine)"
"peso_kg","clinical","numeric","kg","no","Peso (kg) al momento de la visita"
"calories","clinical","numeric","kcal","no","Consumo de calorias (recordatorio 24 h)"
"calories_fat","clinical","numeric","kcal","no","Consumo de calorias en lipidos"
"carbohydrates","clinical","numeric","g","no","Consumo de hidratos de carbono (g)"
"protein","clinical","numeric","g","no","Consumo de proteinas (g)"
"fat","clinical","numeric","g","no","Consumo de lipidos (g)"
"vitamin_b1","clinical","numeric","mg","no","Consumo de vitamina B1 (mg)"
"vitamin_b2","clinical","numeric","mg","no","Consumo de vitamina B2 (mg)"
"vitamin_b6","clinical","numeric","mg","no","Consumo de vitamina B6 (mg)"
"vitamin_b12","clinical","numeric","ug","no","Consumo de vitamina B12 (ug)"
"folic_ac_correg","clinical","numeric","ug","no","Consumo total de acido folico (ug)"
"folate","clinical","numeric","ug","no","Folato (ug)"
"folate_dfe","clinical","numeric","ug","no","Folato equivalentes dieteticos DFE (ug)"
"folate_food","clinical","numeric","ug","no","Consumo de folato en alimentos (ug)"
"choline","clinical","numeric","mg","no","Consumo total de colina"
"cystine","clinical","numeric","g","no","Consumo total de cisteina"
"glycine","clinical","numeric","g","no","Consumo total de glicina"
"methionine","clinical","numeric","g","no","Consumo total de metionina"
"serine","clinical","numeric","g","no","Consumo total de serina"
"dietsuppl3mon","clinical","numeric","0/1","no","Consumo de suplemento dietario (0=No 1=Si)"
"vitaminsup","clinical","numeric","0/1","no","Consumo de vitaminas en suplemento (0=No 1=Si)"
"supintakefreq","clinical","numeric","per_day","no","Dosis diaria de suplementos (veces/dia)"
"comp1tribleed","clinical","numeric","0/1","no","Sangrado del primer trimestre (0=No 1=Si)"
"compvaginf","clinical","numeric","0/1","no","Infeccion cervicovaginal activa (0=No 1=Si)"
"compsexualinf","clinical","numeric","0/1","no","Infeccion de transmision sexual detectada (0=No 1=Si)"
"comppreeclam","clinical","numeric","0/1","no","Preeclampsia (0=No 1=Si)"
"rpm_preterm","clinical","numeric","0/1","no","Ruptura prematura de membranas antes de 37 sem (0=No 1=Si)"
"rpm","clinical","numeric","0/1","no","Ruptura prematura de membranas mayor a 37 sem (0=No 1=Si)"
"diabetes_gest","clinical","numeric","0/1","no","Diabetes gestacional (0=No 1=Si)"
"obito","clinical","numeric","0/1","no","Obito o muerte al nacer"
"oligohidramnios","clinical","numeric","0/1","no","Oligohidramnios (0=No 1=Si)"
"rciu","clinical","numeric","0/1","no","Retraso en el crecimiento intrauterino (0=No 1=Si)"
"bajo_peso_nac","clinical","numeric","0/1","no","Bajo peso al nacer (menos de 2.5 kg)"
"nivel_academico","clinical","character","","no","Nivel educativo (1=Primaria 2=Secundaria 3=Bachillerato 4=Licenciatura)"
"maritalstat","clinical","numeric","","no","Estado civil (1=Casada 2=Divorciada 5=Union libre)"
"workouthome","clinical","numeric","","no","Trabaja fuera de casa (1=Si 2=No)"
"sex_baby","clinical","character","","no","Sexo del bebe"
"birthweightgr","clinical","numeric","g","no","Peso al nacimiento (g)"
"peso_nacimiento","clinical","character","","no","Calificacion de peso al nacer"
"pfetal","clinical","numeric","g","no","Peso fetal (g) al momento de la consulta"
"fcf","clinical","numeric","bpm","no","Frecuencia cardiaca fetal"
"ccef","clinical","numeric","mm","no","Perimetro cefalico fetal"
"dbip","clinical","numeric","mm","no","Diametro biparietal fetal"
"cabd","clinical","numeric","mm","no","Circunferencia abdominal fetal"
"longfe","clinical","numeric","mm","no","Longitud de femur"
"hemoglobin_g_dl","clinical","numeric","g/dL","no","Hemoglobina (g/dL)"
"hemoglobin_alti_adj","clinical","numeric","g/dL","no","Hemoglobina ajustada por altitud (CDMX)"
"anemia_visita","clinical","numeric","0/1","no","Diagnostico de anemia"
"early_preterm","clinical","factor","0/1","no","Parto muy prematuro (<34 sem); binario 0/1; variable de desenlace"
"imc_visita","clinical","numeric","kg/m2","no","IMC en cada visita (primera = pregestacional; resto calculado)"
"lag_peso_kg","clinical","numeric","kg","no","Feature rezagada (lag) de peso"
"lag_hemoglobin","clinical","numeric","g/dL","no","Feature rezagada (lag) de hemoglobina"
"lag_imc_visita","clinical","numeric","kg/m2","no","Feature rezagada (lag) de IMC"
"rolling_avg_peso","clinical","numeric","kg","no","Promedio movil de peso (ultimas 2 visitas)"
"rolling_avg_imc","clinical","numeric","kg/m2","no","Promedio movil de IMC (ultimas 2 visitas)"
"time_since_first","clinical","numeric","weeks","no","Tiempo desde la primera visita (semanas)"
"Lactobacillus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Gardnerella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Hydrotalea","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Ralstonia","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Gordonia","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Kocuria","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Peptostreptococcus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Rhizobiaceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Agrobacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Mesorhizobium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Finegoldia","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Bifidobacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"HT002","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Xanthobacteraceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Variovorax","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Bradyrhizobium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Mycoplasma","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Peptoniphilus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Corynebacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Comamonadaceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Ureaplasma","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Megasphaera","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Cutibacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Streptococcus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Anaerococcus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Hoylesella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Clostridium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Fannyhessea","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Lawsonella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Sneathia","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Lactobacillaceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Staphylococcus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Microbacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Limosilactobacillus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"o__Chloroplast","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Methylobacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Rhizobium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Prevotella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Veillonellaceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Enhydrobacter","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Pleomorphomonadaceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"f__Bifidobacteriaceae","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Fastidiosipila","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"o__Saccharimonadales","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"o__Lactobacillales","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"o__Clostridia_UCG-014","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Prevotellaceae_UCG-001","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Sphingomonas","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Bosea","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Lancefieldella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"c__Alphaproteobacteria","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Olsenella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Escherichia-Shigella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Blautia","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Mogibacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Miniphocaeibacter","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Propionibacterium","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Murdochiella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Mobiluncus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Aerococcus","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Methylorubrum","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Alishewanella","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Slackia","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"Pseudomonas","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
"d__Bacteria","microbiome","numeric","rel_abund","no","Abundancia relativa del taxon (genero/rango superior)"
